time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
215.329,8355,10567,5070,11960,11960,11960,11960,11960,-1,4400,3808,-1,-1,-1,-1
215.661,8355,10567,5070,11960,11960,11960,11960,11960,-1,4400,3792,-1,-1,-1,-1
216.510,8423,10567,5070,11960,11960,11960,11960,11960,-1,4400,3792,-1,-1,-1,-1
216.876,8423,10567,5070,11960,11960,11960,11960,11960,-1,4416,3792,-1,-1,-1,-1
218.062,8423,10567,5070,11960,11960,11960,11960,11960,-1,4416,3776,-1,-1,-1,-1
218.739,8423,10486,4941,11960,11960,11960,11960,11960,-1,4416,3776,-1,-1,-1,-1
231.277,8423,10486,4941,11960,11960,11960,11960,11960,-1,4448,3776,-1,-1,-1,-1
232.020,8423,10486,4941,11960,11960,11960,11960,11960,-1,4448,3760,-1,-1,-1,-1
233.796,8423,10486,4941,11960,11960,11960,11960,11960,-1,4448,3760,-1,-1,-1,-1
234.473,8423,10486,4941,11960,11960,11960,11960,11960,-1,4464,3760,-1,-1,-1,-1
235.096,8423,10486,4941,11960,11960,11960,11960,11960,-1,4464,3728,-1,-1,-1,-1
235.770,8474,10486,4941,11960,11960,11960,11960,11960,-1,4464,3728,-1,-1,-1,-1
236.098,8474,10486,4941,11960,11960,11960,11960,11960,-1,4448,3728,-1,-1,-1,-1
257.263,8474,10486,4941,11960,11960,11960,11960,11960,-1,4448,3712,-1,-1,-1,-1
259.914,8474,10734,5041,11960,11960,11960,11960,11960,-1,4448,3712,-1,-1,-1,-1
260.559,8474,10734,5041,11960,11960,11960,11960,11960,-1,4400,3712,-1,-1,-1,-1
261.391,8474,10734,5041,11960,11960,11960,11960,11960,-1,4400,3712,-1,-1,-1,-1
262.126,8474,10734,5041,11960,11960,11960,11960,11960,-1,4400,3712,-1,-1,-1,-1
263.142,8474,10734,5041,11960,11960,11960,11960,11960,-1,4416,3712,-1,-1,-1,-1
263.526,8474,10734,5041,11960,11960,11960,11960,11960,-1,4416,3712,-1,-1,-1,-1
264.105,8544,10734,5041,11960,11960,11960,11960,11960,-1,4416,3712,-1,-1,-1,-1
264.382,8544,10734,5041,11960,11960,11960,11960,11960,-1,4464,3712,-1,-1,-1,-1
281.705,8544,10734,5041,11960,11960,11960,11960,11960,-1,4464,3712,-1,-1,-1,-1
283.867,8544,10603,5073,11960,11960,11960,11960,11960,-1,4464,3712,-1,-1,-1,-1
284.531,8544,10603,5073,11960,11960,11960,11960,11960,-1,4496,3712,-1,-1,-1,-1
285.553,8544,10603,5073,11960,11960,11960,11960,11960,-1,4496,3728,-1,-1,-1,-1
286.510,8544,10603,5073,11960,11960,11960,11960,11960,-1,4496,3728,-1,-1,-1,-1
304.687,8544,10603,5073,11960,11960,11960,11960,11960,-1,4496,3728,-1,-1,-1,-1
307.147,8544,10603,5073,11960,11960,11960,11960,11960,-1,4496,3728,-1,-1,-1,-1
310.030,8471,10603,5073,11960,11960,11960,11960,11960,-1,4496,3728,-1,-1,-1,-1
310.535,8471,10603,5073,11960,11960,11960,11960,11960,-1,4528,3728,-1,-1,-1,-1
312.190,8471,10603,5073,11960,11960,11960,11960,11960,-1,4528,3744,-1,-1,-1,-1
