time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.007,8191,11628,6261,11960,11960,11960,11960,11960,-1,1632,3824,-1,-1,-1,-1
11.466,8191,11628,6261,11960,11960,11960,11960,11960,-1,1632,3824,-1,-1,-1,-1
13.168,8191,11628,6261,11960,11960,11960,11960,11960,-1,1632,3824,-1,-1,-1,-1
13.823,8191,11628,6261,11960,11960,11960,11960,11960,-1,1616,3824,-1,-1,-1,-1
15.009,8191,11628,6261,11960,11960,11960,11960,11960,-1,1616,3824,-1,-1,-1,-1
16.902,8288,11628,6261,11960,11960,11960,11960,11960,-1,1616,3824,-1,-1,-1,-1
34.028,8288,11628,6261,11960,11960,11960,11960,11960,-1,1584,3824,-1,-1,-1,-1
34.789,8288,11628,6261,11960,11960,11960,11960,11960,-1,1584,3824,-1,-1,-1,-1
36.371,8288,11656,6288,11960,11960,11960,11960,11960,-1,1584,3824,-1,-1,-1,-1
36.934,8288,11656,6288,11960,11960,11960,11960,11960,-1,1552,3824,-1,-1,-1,-1
37.831,8288,11656,6288,11960,11960,11960,11960,11960,-1,1552,3824,-1,-1,-1,-1
38.383,8288,11656,6288,11960,11960,11960,11960,11960,-1,1552,3824,-1,-1,-1,-1
38.918,8288,11656,6288,11960,11960,11960,11960,11960,-1,1536,3824,-1,-1,-1,-1
39.324,8288,11656,6288,11960,11960,11960,11960,11960,-1,1536,3824,-1,-1,-1,-1
40.099,8267,11656,6288,11960,11960,11960,11960,11960,-1,1536,3824,-1,-1,-1,-1
40.355,8267,11656,6288,11960,11960,11960,11960,11960,-1,1552,3824,-1,-1,-1,-1
60.112,8267,11656,6288,11960,11960,11960,11960,11960,-1,1552,3824,-1,-1,-1,-1
61.581,8267,11672,6302,11960,11960,11960,11960,11960,-1,1552,3824,-1,-1,-1,-1
62.399,8267,11672,6302,11960,11960,11960,11960,11960,-1,1600,3824,-1,-1,-1,-1
62.779,8267,11672,6302,11960,11960,11960,11960,11960,-1,1600,3824,-1,-1,-1,-1
