time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
187.737,8357,10752,5258,11960,11960,11960,11960,11960,-1,2000,4048,-1,-1,-1,-1
202.498,8357,10752,5258,11960,11960,11960,11960,11960,-1,2000,4048,-1,-1,-1,-1
204.376,8521,10752,5258,11960,11960,11960,11960,11960,-1,2000,4048,-1,-1,-1,-1
205.541,8521,10752,5258,11960,11960,11960,11960,11960,-1,1984,4048,-1,-1,-1,-1
207.098,8521,10752,5258,11960,11960,11960,11960,11960,-1,1984,4064,-1,-1,-1,-1
228.546,8521,10735,5297,11960,11960,11960,11960,11960,-1,1984,4064,-1,-1,-1,-1
229.646,8521,10735,5297,11960,11960,11960,11960,11960,-1,2000,4064,-1,-1,-1,-1
230.641,8521,10735,5297,11960,11960,11960,11960,11960,-1,2000,4064,-1,-1,-1,-1
232.474,8521,10735,5297,11960,11960,11960,11960,11960,-1,2000,4064,-1,-1,-1,-1
233.287,8521,10735,5297,11960,11960,11960,11960,11960,-1,1984,4064,-1,-1,-1,-1
234.118,8521,10735,5297,11960,11960,11960,11960,11960,-1,1984,4048,-1,-1,-1,-1
236.129,8415,10735,5297,11960,11960,11960,11960,11960,-1,1984,4048,-1,-1,-1,-1
237.075,8415,10735,5297,11960,11960,11960,11960,11960,-1,1920,4048,-1,-1,-1,-1
237.908,8415,10735,5297,11960,11960,11960,11960,11960,-1,1920,4064,-1,-1,-1,-1
253.005,8415,10734,5259,11960,11960,11960,11960,11960,-1,1920,4064,-1,-1,-1,-1
253.497,8415,10734,5259,11960,11960,11960,11960,11960,-1,1888,4064,-1,-1,-1,-1
254.171,8415,10734,5259,11960,11960,11960,11960,11960,-1,1888,4064,-1,-1,-1,-1
255.829,8415,10734,5259,11960,11960,11960,11960,11960,-1,1888,4064,-1,-1,-1,-1
256.245,8415,10734,5259,11960,11960,11960,11960,11960,-1,1840,4064,-1,-1,-1,-1
256.645,8415,10734,5259,11960,11960,11960,11960,11960,-1,1840,4064,-1,-1,-1,-1
278.550,8141,10734,5259,11960,11960,11960,11960,11960,-1,1840,4064,-1,-1,-1,-1
279.305,8141,10734,5259,11960,11960,11960,11960,11960,-1,1632,4064,-1,-1,-1,-1
280.379,8141,10734,5259,11960,11960,11960,11960,11960,-1,1632,4064,-1,-1,-1,-1
282.689,8141,10659,5183,11960,11960,11960,11960,11960,-1,1632,4064,-1,-1,-1,-1
283.402,8141,10659,5183,11960,11960,11960,11960,11960,-1,1600,4064,-1,-1,-1,-1
284.427,8141,10659,5183,11960,11960,11960,11960,11960,-1,1600,4080,-1,-1,-1,-1
303.355,8141,10659,5183,11960,11960,11960,11960,11960,-1,1600,4080,-1,-1,-1,-1
304.338,8141,10659,5183,11960,11960,11960,11960,11960,-1,1616,4080,-1,-1,-1,-1
306.593,8141,10659,5183,11960,11960,11960,11960,11960,-1,1616,4080,-1,-1,-1,-1
308.197,8354,10659,5183,11960,11960,11960,11960,11960,-1,1616,4080,-1,-1,-1,-1
308.789,8354,10659,5183,11960,11960,11960,11960,11960,-1,1616,4080,-1,-1,-1,-1
309.345,8354,10659,5183,11960,11960,11960,11960,11960,-1,1616,4080,-1,-1,-1,-1
310.557,8354,10854,5238,11960,11960,11960,11960,11960,-1,1616,4080,-1,-1,-1,-1
310.977,8354,10854,5238,11960,11960,11960,11960,11960,-1,1536,4080,-1,-1,-1,-1
311.387,8354,10854,5238,11960,11960,11960,11960,11960,-1,1536,4080,-1,-1,-1,-1
312.657,8354,10854,5238,11960,11960,11960,11960,11960,-1,1536,4080,-1,-1,-1,-1
313.046,8354,10854,5238,11960,11960,11960,11960,11960,-1,1536,4080,-1,-1,-1,-1
313.436,8354,10854,5238,11960,11960,11960,11960,11960,-1,1536,4080,-1,-1,-1,-1
329.790,8333,10854,5238,11960,11960,11960,11960,11960,-1,1536,4080,-1,-1,-1,-1
330.649,8333,10854,5238,11960,11960,11960,11960,11960,-1,1520,4080,-1,-1,-1,-1
331.460,8333,10854,5238,11960,11960,11960,11960,11960,-1,1520,4080,-1,-1,-1,-1
332.717,8333,10816,5134,11960,11960,11960,11960,11960,-1,1520,4080,-1,-1,-1,-1
333.104,8333,10816,5134,11960,11960,11960,11960,11960,-1,1472,4080,-1,-1,-1,-1
333.507,8333,10816,5134,11960,11960,11960,11960,11960,-1,1472,4080,-1,-1,-1,-1
353.167,8333,10816,5134,11960,11960,11960,11960,11960,-1,1472,4080,-1,-1,-1,-1
353.587,8333,10816,5134,11960,11960,11960,11960,11960,-1,1424,4080,-1,-1,-1,-1
353.990,8333,10816,5134,11960,11960,11960,11960,11960,-1,1424,4096,-1,-1,-1,-1
354.742,8436,10816,5134,11960,11960,11960,11960,11960,-1,1424,4096,-1,-1,-1,-1
355.617,8436,10816,5134,11960,11960,11960,11960,11960,-1,1440,4096,-1,-1,-1,-1
356.911,8436,10816,5134,11960,11960,11960,11960,11960,-1,1440,4096,-1,-1,-1,-1
