time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
210.919,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5808,-1,-1,-1,-1
211.193,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
211.549,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
212.138,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
214.881,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
215.554,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
234.364,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
234.902,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5792,-1,-1,-1,-1
235.958,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
237.203,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
237.520,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
237.804,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
261.200,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
261.833,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
262.610,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
264.034,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
264.569,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
265.103,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
285.736,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
286.361,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
287.096,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
288.708,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
289.349,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
290.793,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
292.798,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
293.114,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5808,-1,-1,-1,-1
293.462,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5792,-1,-1,-1,-1
293.986,8192,8192,8192,11960,11960,11960,11960,11960,-1,1024,5792,-1,-1,-1,-1
294.204,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
307.261,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
309.153,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
309.544,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
310.005,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
334.952,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
336.105,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
336.841,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
338.533,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
339.073,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5792,-1,-1,-1,-1
340.445,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5792,-1,-1,-1,-1
341.079,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5792,-1,-1,-1,-1
341.329,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
341.597,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
