time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.007,7758,9725,5295,11940,11940,11940,11940,11940,-1,0,14864,-1,-1,-1,-1
34.969,7758,9725,5295,11940,11940,11940,11940,11940,-1,0,14864,-1,-1,-1,-1
35.752,8646,9725,5295,11940,11940,11940,11940,11940,-1,0,14864,-1,-1,-1,-1
35.999,8646,9725,5295,11940,11940,11940,11940,11940,-1,0,14864,-1,-1,-1,-1
37.550,8646,9725,5295,11940,11940,11940,11940,11940,-1,0,14880,-1,-1,-1,-1
39.849,8646,9936,5282,11940,11940,11940,11940,11940,-1,0,14880,-1,-1,-1,-1
40.661,8646,9936,5282,11940,11940,11940,11940,11940,-1,0,14880,-1,-1,-1,-1
41.518,8646,9936,5282,11940,11940,11940,11940,11940,-1,0,14896,-1,-1,-1,-1
42.874,8646,9936,5282,11940,11940,11940,11940,11940,-1,0,14896,-1,-1,-1,-1
43.417,8646,9936,5282,11940,11940,11940,11940,11940,-1,0,14896,-1,-1,-1,-1
43.724,8646,9936,5282,11940,11940,11940,11940,11940,-1,0,14928,-1,-1,-1,-1
44.304,8896,9936,5282,11940,11940,11940,11940,11940,-1,0,14928,-1,-1,-1,-1
44.574,8896,9936,5282,11940,11940,11940,11940,11940,-1,0,14928,-1,-1,-1,-1
44.851,8896,9936,5282,11940,11940,11940,11940,11940,-1,0,14944,-1,-1,-1,-1
45.371,8896,9879,4905,11940,11940,11940,11940,11940,-1,0,14944,-1,-1,-1,-1
45.589,8896,9879,4905,11940,11940,11940,11940,11940,-1,0,14944,-1,-1,-1,-1
68.758,8896,9879,4905,11940,11940,11940,11940,11940,-1,0,14960,-1,-1,-1,-1
69.404,8896,9879,4905,11940,11940,11940,11940,11940,-1,0,14960,-1,-1,-1,-1
69.807,8896,9879,4905,11940,11940,11940,11940,11940,-1,16,14960,-1,-1,-1,-1
70.146,8896,9879,4905,11940,11940,11940,11940,11940,-1,16,14976,-1,-1,-1,-1
70.884,8551,9879,4905,11940,11940,11940,11940,11940,-1,16,14976,-1,-1,-1,-1
71.198,8551,9879,4905,11940,11940,11940,11940,11940,-1,32,14976,-1,-1,-1,-1
71.500,8551,9879,4905,11940,11940,11940,11940,11940,-1,32,14992,-1,-1,-1,-1
72.009,8551,10098,5161,11940,11940,11940,11940,11940,-1,32,14992,-1,-1,-1,-1
72.227,8551,10098,5161,11940,11940,11940,11940,11940,-1,32,14992,-1,-1,-1,-1
95.723,8551,10098,5161,11940,11940,11940,11940,11940,-1,32,14992,-1,-1,-1,-1
97.026,8551,10098,5161,11940,11940,11940,11940,11940,-1,32,14992,-1,-1,-1,-1
97.523,8551,10098,5161,11940,11940,11940,11940,11940,-1,16,14992,-1,-1,-1,-1
98.035,8551,10098,5161,11940,11940,11940,11940,11940,-1,16,15008,-1,-1,-1,-1
98.592,8617,10098,5161,11940,11940,11940,11940,11940,-1,16,15008,-1,-1,-1,-1
98.808,8617,10098,5161,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
99.057,8617,10098,5161,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
99.641,8617,10513,5323,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
119.809,8617,10513,5323,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
120.504,8617,10513,5323,11940,11940,11940,11940,11940,-1,0,15024,-1,-1,-1,-1
122.144,8617,10513,5323,11940,11940,11940,11940,11940,-1,0,15024,-1,-1,-1,-1
123.349,8617,10513,5323,11940,11940,11940,11940,11940,-1,0,15024,-1,-1,-1,-1
124.518,8617,10513,5323,11940,11940,11940,11940,11940,-1,0,15024,-1,-1,-1,-1
125.805,8838,10513,5323,11940,11940,11940,11940,11940,-1,0,15024,-1,-1,-1,-1
126.310,8838,10513,5323,11940,11940,11940,11940,11940,-1,0,15024,-1,-1,-1,-1
144.884,8838,10513,5323,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
146.235,8838,10617,5223,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
146.752,8838,10617,5223,11940,11940,11940,11940,11940,-1,0,15008,-1,-1,-1,-1
