time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.008,4123,8551,8855,11940,11940,11940,11940,11940,-1,960,14528,-1,-1,-1,-1
16.785,4123,8551,8855,11940,11940,11940,11940,11940,-1,960,14528,-1,-1,-1,-1
17.036,4123,8551,8855,11940,11940,11940,11940,11940,-1,992,14528,-1,-1,-1,-1
17.303,4123,8551,8855,11940,11940,11940,11940,11940,-1,992,14544,-1,-1,-1,-1
17.807,4138,8551,8855,11940,11940,11940,11940,11940,-1,992,14544,-1,-1,-1,-1
18.010,4138,8551,8855,11940,11940,11940,11940,11940,-1,864,14544,-1,-1,-1,-1
18.237,4138,8551,8855,11940,11940,11940,11940,11940,-1,864,14528,-1,-1,-1,-1
43.296,4138,8359,8690,11940,11940,11940,11940,11940,-1,864,14528,-1,-1,-1,-1
43.847,4138,8359,8690,11940,11940,11940,11940,11940,-1,800,14528,-1,-1,-1,-1
44.424,4138,8359,8690,11940,11940,11940,11940,11940,-1,800,14528,-1,-1,-1,-1
45.695,4138,8359,8690,11940,11940,11940,11940,11940,-1,800,14528,-1,-1,-1,-1
46.202,4138,8359,8690,11940,11940,11940,11940,11940,-1,704,14528,-1,-1,-1,-1
46.766,4138,8359,8690,11940,11940,11940,11940,11940,-1,704,14512,-1,-1,-1,-1
47.983,4242,8359,8690,11940,11940,11940,11940,11940,-1,704,14512,-1,-1,-1,-1
48.266,4242,8359,8690,11940,11940,11940,11940,11940,-1,736,14512,-1,-1,-1,-1
48.590,4242,8359,8690,11940,11940,11940,11940,11940,-1,736,14528,-1,-1,-1,-1
71.056,4242,8162,8611,11940,11940,11940,11940,11940,-1,736,14528,-1,-1,-1,-1
71.589,4242,8162,8611,11940,11940,11940,11940,11940,-1,528,14528,-1,-1,-1,-1
74.043,4242,8162,8611,11940,11940,11940,11940,11940,-1,528,14528,-1,-1,-1,-1
75.308,4242,8162,8611,11940,11940,11940,11940,11940,-1,528,14528,-1,-1,-1,-1
75.825,4242,8162,8611,11940,11940,11940,11940,11940,-1,576,14528,-1,-1,-1,-1
76.388,4242,8162,8611,11940,11940,11940,11940,11940,-1,576,14528,-1,-1,-1,-1
77.643,3923,8162,8611,11940,11940,11940,11940,11940,-1,576,14528,-1,-1,-1,-1
77.940,3923,8162,8611,11940,11940,11940,11940,11940,-1,592,14528,-1,-1,-1,-1
78.204,3923,8162,8611,11940,11940,11940,11940,11940,-1,592,14496,-1,-1,-1,-1
92.047,3923,8078,8768,11940,11940,11940,11940,11940,-1,592,14496,-1,-1,-1,-1
92.672,3923,8078,8768,11940,11940,11940,11940,11940,-1,272,14496,-1,-1,-1,-1
93.269,3923,8078,8768,11940,11940,11940,11940,11940,-1,272,14512,-1,-1,-1,-1
94.457,3923,8078,8768,11940,11940,11940,11940,11940,-1,272,14512,-1,-1,-1,-1
95.125,3923,8078,8768,11940,11940,11940,11940,11940,-1,320,14512,-1,-1,-1,-1
95.709,3923,8078,8768,11940,11940,11940,11940,11940,-1,320,14512,-1,-1,-1,-1
117.443,3912,8078,8768,11940,11940,11940,11940,11940,-1,320,14512,-1,-1,-1,-1
118.252,3912,8078,8768,11940,11940,11940,11940,11940,-1,512,14512,-1,-1,-1,-1
118.892,3912,8078,8768,11940,11940,11940,11940,11940,-1,512,14528,-1,-1,-1,-1
120.379,3912,8056,8748,11940,11940,11940,11940,11940,-1,512,14528,-1,-1,-1,-1
121.066,3912,8056,8748,11940,11940,11940,11940,11940,-1,528,14528,-1,-1,-1,-1
121.624,3912,8056,8748,11940,11940,11940,11940,11940,-1,528,14528,-1,-1,-1,-1
122.904,3912,8056,8748,11940,11940,11940,11940,11940,-1,528,14528,-1,-1,-1,-1
123.145,3912,8056,8748,11940,11940,11940,11940,11940,-1,688,14528,-1,-1,-1,-1
141.717,3912,8056,8748,11940,11940,11940,11940,11940,-1,688,14528,-1,-1,-1,-1
143.380,4095,8056,8748,11940,11940,11940,11940,11940,-1,688,14528,-1,-1,-1,-1
143.955,4095,8056,8748,11940,11940,11940,11940,11940,-1,688,14528,-1,-1,-1,-1
144.509,4095,8056,8748,11940,11940,11940,11940,11940,-1,688,14528,-1,-1,-1,-1
145.737,4095,8057,8665,11940,11940,11940,11940,11940,-1,688,14528,-1,-1,-1,-1
146.258,4095,8057,8665,11940,11940,11940,11940,11940,-1,736,14528,-1,-1,-1,-1
