Id,ParamName,ParamValue,Event_id
3660,Weapon Name,GLOCK19,1270
3661,Ammunition Name,9MM_LUGER,1270
3662,Target Name,Target_5shot_110,1271
3663,Score,5,1271
3664,Collider,target-hit-5,1271
3665,Trainee Name,Tom Hut,1271
3666,Entity Name,Target_5shot_110,1272
3667,Force,Opposing,1272
3668,Entity Name,Target_5shot_110,1273
3669,Criteria,{evalType:'BasicMarksmanship'},1273
3670,Trainee Name,Tom Hut,1274
3671,Weapon Name,GLOCK19,1274
3672,Ammunition Name,9MM_LUGER,1274
3673,Trainee Name,Tom Hut,1275
3674,Weapon Name,GLOCK19,1275
3675,Ammunition Name,9MM_LUGER,1275
3676,Trainee Name,Tom Hut,1276
3677,Weapon Name,GLOCK19,1276
3678,Ammunition Name,9MM_LUGER,1276
3679,Target Name,Target_5shot_110,1277
3680,Score,5,1277
3681,Collider,target-hit-5,1277
3682,Trainee Name,Tom Hut,1277
3683,Entity Name,Target_5shot_110,1278
3684,Trainee Name,Tom Hut,1279
3685,Weapon Name,GLOCK19,1279
3686,Ammunition Name,9MM_LUGER,1279
3687,Target Name,Target_5shot_110,1280
3688,Score,4,1280
3689,Collider,target-hit-4,1280
3690,Trainee Name,Tom Hut,1280
3691,Trainee Name,Tom Hut,1281
3692,Weapon Name,GLOCK19,1281
3693,Ammunition Name,9MM_LUGER,1281
3694,Target Name,Target_5shot_110,1282
3695,Score,4,1282
3696,Collider,target-hit-4,1282
3697,Trainee Name,Tom Hut,1282
3698,Entity Name,Target_5shot_110,1283
3699,Force,Opposing,1283
3700,Entity Name,Target_5shot_110,1284
3701,Criteria,{evalType:'BasicMarksmanship'},1284
3702,Trainee Name,Tom Hut,1285
3703,Weapon Name,GLOCK19,1285
3704,Ammunition Name,9MM_LUGER,1285
3705,Trainee Name,Tom Hut,1286
3706,Weapon Name,GLOCK19,1286
3707,Ammunition Name,9MM_LUGER,1286
3708,Target Name,Target_5shot_110,1287
3709,Score,5,1287
3710,Collider,target-hit-5,1287
3711,Trainee Name,Tom Hut,1287
