ImpactPosX,ImpactPosY,,,,,,
,,,,,,,
0.1397711,1.493427,,,,,,
,,,,,,,
0.02259298,1.376896,,,,,,
,,,,,,,
0.1248724,1.394318,,,,,,
,,,,,,,
,,,,,,,
-0.113758,1.373325,,,,,,
,,,,,,,
-0.0567274,1.292896,,,,,,
,,,,,,,
-0.003359077,1.372181,,,,,,
,,,,,,,
0.0688771,1.477798,,,,,,
,,,,,,,
-0.06857207,1.314571,,,,,,
,,,,,,,
0.03938475,1.238884,,,,,,
,,,,,,,
-0.04005584,1.278778,,,,,,
,,,,,,,
-0.05752051,1.427788,,,,,,
,,,,,,,
0.1479535,1.234215,,,,,,
,,,,,,,
-0.03865265,1.395241,,,,,,
,,,,,,,
0.1291466,1.417549,,,,,,
,,,,,,,
0.01862383,1.361355,,,,,,
,,,,,,,
0.1519226,1.36491,,,,,,
,,,,,,,
0.134641,1.394321,,,,,,
,,,,,,,
-0.1477704,1.129463,,,,,,
,,,,,,,
0.05642055,1.407948,,,,,,
,,,,,,,
-0.08786879,1.398113,,,,,,
,,,,,,,
0.08011349,1.280941,,,,,,
,,,,,,,
0.08835685,1.329052,,,,,,
,,,,,,,
0.1934445,1.372849,,,,,,
,,,,,,,
0.1028285,1.273266,,,,,,
,,,,,,,
0.1191932,1.495106,,,,,,
,,,,,,,
0.06796198,1.296391,,,,,,
,,,,,,,
0.08328773,1.406597,,,,,,
,,,,,,,
0.03773572,1.249775,,,,,,
,,,,,,,
0.1273146,1.350883,,,,,,
,,,,,,,
0.02381496,1.328842,,,,,,
,,,,,,,
-0.08988387,1.353168,,,,,,
,,,,,,,
0.1279856,1.34005,,,,,,
,,,,,,,
0.06674001,1.439053,,,,,,
,,,,,,,
0.05403941,1.30566,,,,,,
,,,,,,,
0.2003438,1.295059,,,,,,
,,,,,,,
0.02076093,1.483841,,,,,,
,,,,,,,
0.1171781,1.282509,,,,,,
,,,,,,,
0.09776118,1.349178,,,,,,
,,,,,,,
0.00940433,1.373672,,,,,,
,,,,,,,
0.01239555,1.372143,,,,,,
,,,,,,,
0.1285957,1.290077,,,,,,
,,,,,,,
0.02882126,1.348896,,,,,,
,,,,,,,
0.0269892,1.283787,,,,,,
,,,,,,,
-0.01135841,1.328548,,,,,,
,,,,,,,
,,,,,,,
0.09183795,1.2934,,,,,,
,,,,,,,
0.1243825,1.336906,,,,,,
,,,,,,,
0.1331158,1.385033,,,,,,
,,,,,,,
-0.01508172,1.382942,,,,,,
,,,,,,,
0.08200656,1.35231,,,,,,
,,,,,,,
-0.1544868,1.449142,,,,,,
,,,,,,,
-0.004640251,1.381451,,,,,,
,,,,,,,
0.1060655,1.341511,,,,,,
,,,,,,,
-0.00433521,1.561359,,,,,,
,,,,,,,
-0.08310471,1.43676,,,,,,
,,,,,,,
0.01410559,1.426399,,,,,,
,,,,,,,
-0.1479535,1.436821,,,,,,
,,,,,,,
-0.05239038,1.368912,,,,,,
,,,,,,,
-0.04433185,1.387516,,,,,,
,,,,,,,
0.2203117,1.186771,,,,,,
,,,,,,,
-0.06802299,1.437084,,,,,,
,,,,,,,
0.0106855,1.348969,,,,,,
,,,,,,,
0.0148987,1.350525,,,,,,
,,,,,,,
-0.1259095,1.419777,,,,,,
,,,,,,,
0.1674924,1.417732,,,,,,
,,,,,,,
-0.1765917,1.396362,,,,,,
,,,,,,,
-0.2160375,1.405575,,,,,,
,,,,,,,
0.1448994,1.31218,,,,,,
,,,,,,,
-0.1546698,1.362358,,,,,,
,,,,,,,
-0.09263106,1.561005,,,,,,
,,,,,,,
-0.009892397,1.460491,,,,,,
,,,,,,,
-0.006594327,1.457466,,,,,,
,,,,,,,
-0.05794756,1.452633,,,,,,
,,,,,,,
-0.000183025,1.286686,,,,,,
,,,,,,,
0.01898987,1.483879,,,,,,
,,,,,,,
0.09403606,1.41893,,,,,,
,,,,,,,
-0.1971696,1.428905,,,,,,
,,,,,,,
0.08597572,1.504299,,,,,,
,,,,,,,
,,,,,,,
0.03425643,1.400089,,,,,,
,,,,,,,
0.08615874,1.195648,,,,,,
,,,,,,,
-0.1198033,1.351578,,,,,,
,,,,,,,
0.1488686,1.305981,,,,,,
,,,,,,,
0.0823116,1.300953,,,,,,
,,,,,,,
0.05196332,1.440521,,,,,,
,,,,,,,
-0.02656214,1.328609,,,,,,
,,,,,,,
0.05568845,1.307194,,,,,,
,,,,,,,
-0.01868483,1.328674,,,,,,
,,,,,,,
0.06448089,1.417389,,,,,,
,,,,,,,
0.08383862,1.330605,,,,,,
,,,,,,,
0.1630962,1.451782,,,,,,
,,,,,,,
0.06875509,1.291763,,,,,,
,,,,,,,
0.1453893,1.301334,,,,,,
,,,,,,,
0.01465466,1.263653,,,,,,
,,,,,,,
0.1703634,1.470356,,,,,,
,,,,,,,
0.07809841,1.362888,,,,,,
,,,,,,,
-0.03156845,1.471325,,,,,,
,,,,,,,
0.1649892,1.406868,,,,,,
,,,,,,,
-0.003052225,1.438847,,,,,,
,,,,,,,
-0.1237114,1.23991,,,,,,
,,,,,,,
0.05349034,1.35997,,,,,,
,,,,,,,
0.04909412,1.263775,,,,,,
,,,,,,,
-0.01459366,1.230999,,,,,,
,,,,,,,
0.00396916,1.195362,,,,,,
,,,,,,,
0.1403202,1.153942,,,,,,
,,,,,,,
0.04775013,1.254478,,,,,,
,,,,,,,
0.004884284,1.12088,,,,,,
,,,,,,,
0.04927715,1.16449,,,,,,
,,,,,,,
-0.06912295,1.271091,,,,,,
,,,,,,,
-0.02491311,1.25267,,,,,,
,,,,,,,
-0.0688771,1.250923,,,,,,
,,,,,,,
-0.03187349,1.252655,,,,,,
,,,,,,,
0.01581563,1.240402,,,,,,
,,,,,,,
-0.03303446,1.254185,,,,,,
,,,,,,,
0.01386156,1.262115,,,,,,
,,,,,,,
0.06698585,1.243645,,,,,,
,,,,,,,
-0.04158286,1.241745,,,,,,
,,,,,,,
0.03779672,1.235695,,,,,,
,,,,,,,
0.03450046,1.238914,,,,,,
,,,,,,,
0.03968979,1.283924,,,,,,
,,,,,,,
0.09122606,1.24221,,,,,,
,,,,,,,
-0.01361752,1.251156,,,,,,
,,,,,,,
0.01740185,1.240406,,,,,,
,,,,,,,
-0.004396218,1.285297,,,,,,
,,,,,,,
-0.005067309,1.2729,,,,,,
,,,,,,,
0.08536564,1.338352,,,,,,
,,,,,,,
-0.01331067,1.189106,,,,,,
,,,,,,,
-0.01819677,1.238739,,,,,,
,,,,,,,
0.009282313,1.272949,,,,,,
,,,,,,,
0.09037194,1.262306,,,,,,
,,,,,,,
-0.03712563,1.179726,,,,,,
,,,,,,,
0.1096669,1.316669,,,,,,
,,,,,,,
-0.1188882,1.272419,,,,,,
,,,,,,,
0.01807475,1.338028,,,,,,
,,,,,,,
-0.03010425,1.381397,,,,,,
,,,,,,,
0.02393698,1.316341,,,,,,
,,,,,,,
0.1168121,1.198681,,,,,,
,,,,,,,
0.1092398,1.298031,,,,,,
,,,,,,,
-0.1293296,1.439945,,,,,,
,,,,,,,
0.09769836,1.350521,,,,,,
,,,,,,,
0.04927715,1.249821,,,,,,
,,,,,,,
-0.06191673,1.339394,,,,,,
,,,,,,,
0.005006301,1.339642,,,,,,
,,,,,,,
-0.0141666,1.190662,,,,,,
,,,,,,,
0.05379538,1.381519,,,,,,
,,,,,,,
0.01178546,1.328793,,,,,,
,,,,,,,
0.1340309,1.307381,,,,,,
,,,,,,,
0.1017285,1.315159,,,,,,
,,,,,,,
0.03932374,1.229633,,,,,,
,,,,,,,
0.1025845,1.201889,,,,,,
,,,,,,,
-0.05715446,1.31918,,,,,,
,,,,,,,
0.03700362,1.407974,,,,,,
,,,,,,,
0.04909412,1.262222,,,,,,
,,,,,,,
-0.01569362,1.308453,,,,,,
,,,,,,,
0.1086297,1.285583,,,,,,
,,,,,,,
0.02821118,1.316422,,,,,,
,,,,,,,
0.1323209,1.405167,,,,,,
,,,,,,,
0.01941693,1.262066,,,,,,
,,,,,,,
-0.1170561,1.373344,,,,,,
,,,,,,,
-0.1047826,1.440063,,,,,,
,,,,,,,
0.0368816,1.35989,,,,,,
,,,,,,,
0.06002366,1.499561,,,,,,
,,,,,,,
-0.007267229,1.182911,,,,,,
,,,,,,,
-0.003115044,1.195354,,,,,,
,,,,,,,
0.1005084,1.353924,,,,,,
,,,,,,,
0.136473,1.30595,,,,,,
,,,,,,,
0.1100957,1.285187,,,,,,
,,,,,,,
0.03651555,1.241974,,,,,,
,,,,,,,
-0.03218034,1.292931,,,,,,
,,,,,,,
0.1262146,1.212852,,,,,,
,,,,,,,
0.08041853,1.296463,,,,,,
,,,,,,,
0.04109479,1.318012,,,,,,
,,,,,,,
-0.04634694,1.350269,,,,,,
,,,,,,,
0.1517396,1.370888,,,,,,
,,,,,,,
0.01190748,1.316387,,,,,,
,,,,,,,
0.07083118,1.330559,,,,,,
,,,,,,,
0.01715782,1.243473,,,,,,
,,,,,,,
0.004945293,1.307014,,,,,,
,,,,,,,
-0.05770353,1.319263,,,,,,
,,,,,,,
-0.04524698,1.325508,,,,,,
,,,,,,,
0.114614,1.264008,,,,,,
,,,,,,,
-0.01111256,1.40781,,,,,,
,,,,,,,
0.07333614,1.285591,,,,,,
,,,,,,,
0.004823276,1.404732,,,,,,
,,,,,,,
0.02069992,1.26368,,,,,,
,,,,,,,
0.09250904,1.329014,,,,,,
,,,,,,,
-0.08096761,1.297462,,,,,,
,,,,,,,
0.046774,1.338146,,,,,,
,,,,,,,
-0.04652996,1.260357,,,,,,
,,,,,,,
0.06179471,1.328979,,,,,,
,,,,,,,
0.0609406,1.417377,,,,,,
,,,,,,,
0.08933298,1.352341,,,,,,
,,,,,,,
0.1823319,1.274967,,,,,,
,,,,,,,
-0.07016009,1.43079,,,,,,
,,,,,,,
0.03559861,1.429638,,,,,,
,,,,,,,
-0.04054572,1.283585,,,,,,
,,,,,,,
-0.1322598,1.314243,,,,,,
,,,,,,,
0.000427058,1.375164,,,,,,
,,,,,,,
,,,,,,,
0.05574946,1.493309,,,,,,
,,,,,,,
0.1574798,1.493649,,,,,,
,,,,,,,
0.137695,1.440907,,,,,,
,,,,,,,
0.1049046,1.406654,,,,,,
,,,,,,,
-0.0368816,1.136284,,,,,,
,,,,,,,
0.1015455,1.273277,,,,,,
,,,,,,,
0.0688161,1.463928,,,,,,
,,,,,,,
0.05080416,1.493313,,,,,,
,,,,,,,
0.02729424,1.330341,,,,,,
,,,,,,,
0.1097889,1.192596,,,,,,
,,,,,,,
0.1231014,1.264023,,,,,,
,,,,,,,
0.04054572,1.372326,,,,,,
,,,,,,,
0.004152185,1.38147,,,,,,
,,,,,,,
0.08408266,1.24995,,,,,,
,,,,,,,
0.03022626,1.384636,,,,,,
,,,,,,,
0.1642572,1.406868,,,,,,
,,,,,,,
0.04585706,1.39716,,,,,,
,,,,,,,
-0.004091177,1.485382,,,,,,
,,,,,,,
-0.03511055,1.393787,,,,,,
,,,,,,,
0.1273756,1.504429,,,,,,
,,,,,,,
0.1756748,1.441017,,,,,,
,,,,,,,
0.04811618,1.484001,,,,,,
,,,,,,,
0.0843877,1.304245,,,,,,
,,,,,,,
0.07058715,1.353821,,,,,,
,,,,,,,
0.03376656,1.431232,,,,,,
,,,,,,,
0.115102,1.316753,,,,,,
,,,,,,,
0.1065536,1.229858,,,,,,
,,,,,,,
-0.001221976,1.437077,,,,,,
,,,,,,,
0.208894,1.352749,,,,,,
,,,,,,,
-0.1508837,1.308018,,,,,,
,,,,,,,
0.090799,1.296406,,,,,,
,,,,,,,
0.02338609,1.351959,,,,,,
,,,,,,,
-0.1984508,1.37426,,,,,,
,,,,,,,
-0.03724765,1.26342,,,,,,
,,,,,,,
0.1434962,1.298195,,,,,,
,,,,,,,
0.1396491,1.353939,,,,,,
,,,,,,,
-0.08072358,1.281956,,,,,,
,,,,,,,
0.06545883,1.331974,,,,,,
,,,,,,,
-0.1692635,1.390038,,,,,,
,,,,,,,
0.04512496,1.249596,,,,,,
,,,,,,,
0.04500294,1.381653,,,,,,
,,,,,,,
0.03853063,1.439014,,,,,,
,,,,,,,
0.1521666,1.332333,,,,,,
,,,,,,,
0.09318013,1.218891,,,,,,
,,,,,,,
0.08628076,1.217361,,,,,,
,,,,,,,
0.1050266,1.395805,,,,,,
,,,,,,,
-0.01355651,1.396957,,,,,,
,,,,,,,
0.07968643,1.260757,,,,,,
,,,,,,,
0.06191673,1.335102,,,,,,
,,,,,,,
0.114736,1.296482,,,,,,
,,,,,,,
-0.07498337,1.350178,,,,,,
,,,,,,,
-0.1734767,1.433308,,,,,,
,,,,,,,
-0.06551984,1.395226,,,,,,
,,,,,,,
0.05171929,1.448174,,,,,,
,,,,,,,
0.1989406,1.21928,,,,,,
,,,,,,,
0.09409706,1.296505,,,,,,
,,,,,,,
,,,,,,,
0.0170358,1.406361,,,,,,
,,,,,,,
0.06026769,1.394104,,,,,,
,,,,,,,
0.03584265,1.308678,,,,,,
,,,,,,,
-0.2581694,1.385265,,,,,,
,,,,,,,
0.09617316,1.4702,,,,,,
,,,,,,,
-0.1014845,1.30669,,,,,,
,,,,,,,
0.04231677,1.345791,,,,,,
,,,,,,,
-0.09183795,1.49749,,,,,,
,,,,,,,
0.005191137,1.507118,,,,,,
,,,,,,,
0.09403606,1.550766,,,,,,
,,,,,,,
0.1336038,1.415936,,,,,,
,,,,,,,
0.03840862,1.361397,,,,,,
,,,,,,,
0.0830437,1.360069,,,,,,
,,,,,,,
0.09043295,1.42662,,,,,,
,,,,,,,
,,,,,,,
0.1978407,1.461094,,,,,,
,,,,,,,
0.116324,1.509048,,,,,,
,,,,,,,
0.05068215,1.43903,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0.1477704,1.374237,,,,,,
,,,,,,,
0.09916437,1.443726,,,,,,
,,,,,,,
-0.007450254,1.493652,,,,,,
,,,,,,,
0.1069197,1.207851,,,,,,
,,,,,,,
0.007572271,1.538139,,,,,,
,,,,,,,
0.1197423,1.372482,,,,,,
,,,,,,,
0.004091177,1.38588,,,,,,
