time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
306.767,5595,10208,5780,4192,4192,4192,4192,4192,-1,0,10512,-1,-1,-1,-1
325.281,5595,10208,5780,4192,4192,4192,4192,4192,-1,192,10512,-1,-1,-1,-1
328.704,5595,10208,5780,4192,4192,4192,4192,4192,-1,192,10512,-1,-1,-1,-1
330.080,5595,10225,5953,4192,4192,4192,4192,4192,-1,192,10512,-1,-1,-1,-1
330.615,5595,10225,5953,4192,4192,4192,4192,4192,-1,112,10512,-1,-1,-1,-1
354.207,5595,10225,5953,4192,4192,4192,4192,4192,-1,112,10496,-1,-1,-1,-1
356.711,5786,10225,5953,4192,4192,4192,4192,4192,-1,112,10496,-1,-1,-1,-1
357.361,5786,10225,5953,4192,4192,4192,4192,4192,-1,0,10496,-1,-1,-1,-1
377.617,5786,10225,5953,4192,4192,4192,4192,4192,-1,0,10496,-1,-1,-1,-1
379.940,5786,10202,6615,4192,4192,4192,4192,4192,-1,0,10496,-1,-1,-1,-1
380.468,5786,10202,6615,4192,4192,4192,4192,4192,-1,0,10496,-1,-1,-1,-1
381.464,5786,10202,6615,4192,4192,4192,4192,4192,-1,0,10480,-1,-1,-1,-1
382.805,5499,10202,6615,4192,4192,4192,4192,4192,-1,0,10480,-1,-1,-1,-1
383.318,5499,10202,6615,4192,4192,4192,4192,4192,-1,0,10480,-1,-1,-1,-1
400.500,5499,10202,6615,4192,4192,4192,4192,4192,-1,0,10448,-1,-1,-1,-1
402.084,5499,10260,5955,4192,4192,4192,4192,4192,-1,0,10448,-1,-1,-1,-1
402.375,5499,10260,5955,4192,4192,4192,4192,4192,-1,0,10448,-1,-1,-1,-1
402.674,5499,10260,5955,4192,4192,4192,4192,4192,-1,0,10448,-1,-1,-1,-1
403.409,4798,10260,5955,4192,4192,4192,4192,4192,-1,0,10448,-1,-1,-1,-1
403.887,4798,10260,5955,4192,4192,4192,4192,4192,-1,0,10448,-1,-1,-1,-1
429.412,4798,10260,5955,4192,4192,4192,4192,4192,-1,0,10416,-1,-1,-1,-1
430.806,4798,10209,5763,4192,4192,4192,4192,4192,-1,0,10416,-1,-1,-1,-1
431.326,4798,10209,5763,4192,4192,4192,4192,4192,-1,0,10416,-1,-1,-1,-1
432.092,4798,10209,5763,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
432.696,4023,10209,5763,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
432.938,4023,10209,5763,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
451.236,4023,10209,5763,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
452.837,4023,10172,5926,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
453.086,4023,10172,5926,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
476.335,4023,10172,5926,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
479.276,5025,10172,5926,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
479.890,5025,10172,5926,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
480.546,5025,10172,5926,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
481.793,5025,10357,6240,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
482.302,5025,10357,6240,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
501.162,5025,10357,6240,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
501.799,5092,10357,6240,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
502.048,5092,10357,6240,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
502.295,5092,10357,6240,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
527.169,5092,10552,6646,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
528.352,5092,10552,6646,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
529.161,5092,10552,6646,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
530.394,5438,10552,6646,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
530.923,5438,10552,6646,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
531.463,5438,10552,6646,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
551.184,5438,10552,6426,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
552.282,5438,10552,6426,4192,4192,4192,4192,4192,-1,0,10400,-1,-1,-1,-1
552.623,5438,10552,6426,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
553.135,5062,10552,6426,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
553.345,5062,10552,6426,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
575.260,5062,10552,6426,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
577.803,5062,10454,6087,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
578.481,5062,10454,6087,4192,4192,4192,4192,4192,-1,0,10384,-1,-1,-1,-1
579.111,5062,10454,6087,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
579.690,5297,10454,6087,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
579.947,5297,10454,6087,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
604.894,5297,10454,6087,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
607.284,5297,10302,6146,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
607.810,5297,10302,6146,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
626.367,5297,10302,6146,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
629.067,5491,10302,6146,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
629.702,5491,10302,6146,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
630.293,5491,10302,6146,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
631.500,5491,10414,6185,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
632.038,5491,10414,6185,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
650.450,5491,10414,6185,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
651.944,4316,10414,6185,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
652.189,4316,10414,6185,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
652.444,4316,10414,6185,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
652.968,4316,10294,5805,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
653.178,4316,10294,5805,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
679.236,4316,10294,5805,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
679.916,4980,10294,5805,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
680.255,4980,10294,5805,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
680.537,4980,10294,5805,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
681.079,4980,9976,5834,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
681.292,4980,9976,5834,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
701.289,4980,9976,5834,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
703.066,5609,9976,5834,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
703.309,5609,9976,5834,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
725.482,5609,9976,5834,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
728.500,5609,10119,6174,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
729.257,5609,10119,6174,4192,4192,4192,4192,4192,-1,0,10352,-1,-1,-1,-1
729.909,5609,10119,6174,4192,4192,4192,4192,4192,-1,0,10368,-1,-1,-1,-1
