time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.008,7751,10563,4977,11960,11960,11960,11960,11960,-1,4672,4032,-1,-1,-1,-1
17.548,7751,10563,4977,11960,11960,11960,11960,11960,-1,4672,4032,-1,-1,-1,-1
19.554,7751,10560,4977,11960,11960,11960,11960,11960,-1,4672,4032,-1,-1,-1,-1
20.281,7751,10560,4977,11960,11960,11960,11960,11960,-1,4688,4032,-1,-1,-1,-1
21.061,7751,10560,4977,11960,11960,11960,11960,11960,-1,4688,4032,-1,-1,-1,-1
22.831,7751,10560,4977,11960,11960,11960,11960,11960,-1,4688,4032,-1,-1,-1,-1
23.618,7751,10560,4977,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
41.246,7751,10560,4977,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
42.182,7744,10560,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
42.508,7744,10560,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
44.103,7744,10560,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
46.602,7744,10571,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
47.392,7744,10571,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
48.185,7744,10571,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
49.053,7744,10571,4981,11960,11960,11960,11960,11960,-1,4704,4032,-1,-1,-1,-1
49.794,7744,10571,4981,11960,11960,11960,11960,11960,-1,4688,4032,-1,-1,-1,-1
70.845,7744,10571,4981,11960,11960,11960,11960,11960,-1,4688,4032,-1,-1,-1,-1
72.795,7744,10571,4981,11960,11960,11960,11960,11960,-1,4688,4032,-1,-1,-1,-1
73.553,7744,10571,4981,11960,11960,11960,11960,11960,-1,4736,4032,-1,-1,-1,-1
74.325,7744,10571,4981,11960,11960,11960,11960,11960,-1,4736,4032,-1,-1,-1,-1
76.376,7744,10562,4981,11960,11960,11960,11960,11960,-1,4736,4032,-1,-1,-1,-1
77.131,7744,10562,4981,11960,11960,11960,11960,11960,-1,4736,4032,-1,-1,-1,-1
90.309,7744,10562,4981,11960,11960,11960,11960,11960,-1,4736,4032,-1,-1,-1,-1
92.430,7744,10562,4981,11960,11960,11960,11960,11960,-1,4736,4032,-1,-1,-1,-1
