time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
0.009,7474,10596,5051,11960,11960,11960,11960,11960,-1,7600,3696,-1,-1,-1,-1
21.711,7474,10596,5051,11960,11960,11960,11960,11960,-1,7600,3696,-1,-1,-1,-1
22.458,7474,10596,5051,11960,11960,11960,11960,11960,-1,7536,3696,-1,-1,-1,-1
23.373,7474,10596,5051,11960,11960,11960,11960,11960,-1,7536,3712,-1,-1,-1,-1
25.507,7474,10609,5049,11960,11960,11960,11960,11960,-1,7536,3712,-1,-1,-1,-1
26.708,7474,10609,5049,11960,11960,11960,11960,11960,-1,7536,3712,-1,-1,-1,-1
27.547,7474,10609,5049,11960,11960,11960,11960,11960,-1,7536,3712,-1,-1,-1,-1
29.244,7474,10609,5049,11960,11960,11960,11960,11960,-1,7536,3712,-1,-1,-1,-1
29.669,7474,10609,5049,11960,11960,11960,11960,11960,-1,7472,3712,-1,-1,-1,-1
30.231,7474,10609,5049,11960,11960,11960,11960,11960,-1,7472,3712,-1,-1,-1,-1
31.166,7496,10609,5049,11960,11960,11960,11960,11960,-1,7472,3712,-1,-1,-1,-1
31.532,7496,10609,5049,11960,11960,11960,11960,11960,-1,7488,3712,-1,-1,-1,-1
31.990,7496,10609,5049,11960,11960,11960,11960,11960,-1,7488,3712,-1,-1,-1,-1
32.750,7496,10592,5030,11960,11960,11960,11960,11960,-1,7488,3712,-1,-1,-1,-1
33.103,7496,10592,5030,11960,11960,11960,11960,11960,-1,7552,3712,-1,-1,-1,-1
33.468,7496,10592,5030,11960,11960,11960,11960,11960,-1,7552,3712,-1,-1,-1,-1
50.913,7496,10592,5030,11960,11960,11960,11960,11960,-1,7552,3712,-1,-1,-1,-1
52.072,7496,10592,5030,11960,11960,11960,11960,11960,-1,7616,3712,-1,-1,-1,-1
53.353,7496,10592,5030,11960,11960,11960,11960,11960,-1,7616,3696,-1,-1,-1,-1
54.845,7550,10592,5030,11960,11960,11960,11960,11960,-1,7616,3696,-1,-1,-1,-1
55.217,7550,10592,5030,11960,11960,11960,11960,11960,-1,7664,3696,-1,-1,-1,-1
55.617,7550,10592,5030,11960,11960,11960,11960,11960,-1,7664,3712,-1,-1,-1,-1
56.431,7550,10610,5031,11960,11960,11960,11960,11960,-1,7664,3712,-1,-1,-1,-1
56.888,7550,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
57.311,7550,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
75.372,7550,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
76.160,7550,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
76.989,7550,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
87.934,7593,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
88.782,7593,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
89.606,7593,10610,5031,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
92.083,7593,10604,5033,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
92.862,7593,10604,5033,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
93.660,7593,10604,5033,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
95.439,7593,10604,5033,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
96.217,7593,10604,5033,11960,11960,11960,11960,11960,-1,7712,3712,-1,-1,-1,-1
96.701,7593,10604,5033,11960,11960,11960,11960,11960,-1,7712,3712,-1,-1,-1,-1
124.676,7624,10604,5033,11960,11960,11960,11960,11960,-1,7712,3712,-1,-1,-1,-1
125.104,7624,10604,5033,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
125.574,7624,10604,5033,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
126.412,7624,10583,4985,11960,11960,11960,11960,11960,-1,7696,3712,-1,-1,-1,-1
126.794,7624,10583,4985,11960,11960,11960,11960,11960,-1,7600,3712,-1,-1,-1,-1
127.184,7624,10583,4985,11960,11960,11960,11960,11960,-1,7600,3696,-1,-1,-1,-1
130.978,7624,10583,4985,11960,11960,11960,11960,11960,-1,7600,3696,-1,-1,-1,-1
132.175,7624,10583,4985,11960,11960,11960,11960,11960,-1,7536,3696,-1,-1,-1,-1
133.022,7624,10583,4985,11960,11960,11960,11960,11960,-1,7536,3696,-1,-1,-1,-1
134.753,7583,10583,4985,11960,11960,11960,11960,11960,-1,7536,3696,-1,-1,-1,-1
135.848,7583,10583,4985,11960,11960,11960,11960,11960,-1,7408,3696,-1,-1,-1,-1
136.370,7583,10583,4985,11960,11960,11960,11960,11960,-1,7408,3680,-1,-1,-1,-1
150.595,7583,10605,5014,11960,11960,11960,11960,11960,-1,7408,3680,-1,-1,-1,-1
152.390,7583,10605,5014,11960,11960,11960,11960,11960,-1,7328,3680,-1,-1,-1,-1
153.315,7583,10605,5014,11960,11960,11960,11960,11960,-1,7328,3680,-1,-1,-1,-1
154.438,7583,10605,5014,11960,11960,11960,11960,11960,-1,7328,3680,-1,-1,-1,-1
